Name,PTID,Zone,UnitType,FuelType,Latitude,Longitude,Pmax,Pmin,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM,fid,BusId,HubDist,starttime
East Hampton 2,23722.0,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2.0,0.0,0.033333333,0.333333333,1.0,2.0,10.325,0.0,0.0,0.0,0.0,0.0,0.0,0,217.0,80.0,79.69007519,12h
East Hampton 3,23722.0,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2.0,0.0,0.355,3.55,10.65,21.3,10.325,0.0,0.0,0.0,0.0,0.0,0.0,0,218.0,80.0,79.69007519,12h
East Hampton 4,23722.0,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2.0,0.0,2.283333333,22.83333333,68.5,137.0,10.325,0.0,0.0,0.0,0.0,0.0,0.0,0,219.0,80.0,79.69007519,12h
East Hampton GT 01,23717.0,K,Jet Engine,Fuel Oil 2,40.961706,-72.210277,21.3,0.0,2.325,23.25,69.75,139.5,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,220.0,80.0,79.69007519,12h
East River 1,323558.0,J,Combined Cycle,Natural Gas,40.7281,-73.9742,223.0,88.0,2.9,29.0,87.0,174.0,7.786862784,432.2104342,0.99480635,0.007874435,5.388562598,603.2693726,0.995797117,1,76.0,82.0,6.512568981,12h
East River 2,323559.0,J,Combined Cycle,Natural Gas,40.7281,-73.9742,227.0,83.0,3.125,31.25,93.75,187.5,7.653992605,446.9854883,0.985620378,0.006054234,5.87035837,567.5217797,0.986302005,1,77.0,82.0,6.512568981,12h
Far Rockaway GT1,24212.0,K,Jet Engine,Natural Gas,40.6106,-73.7614,60.0,36.0,1.0,10.0,30.0,60.0,23.41238619,-713.06975,0.837216218,-0.903331941,112.3812393,-2860.17957,0.892843625,1,206.0,79.0,29.10705625,12h
Far Rockaway GT2,23815.0,K,Jet Engine,Kerosene,40.6106,-73.7614,54.0,23.5,0.9,9.0,27.0,54.0,22.01028467,-570.8347887,0.934903285,0.228571099,2.740719375,-185.2299109,0.939237716,1,189.0,79.0,29.10705625,12h
Flynn,23794.0,K,Combined Cycle,Natural Gas,40.8153,-73.0644,111.0,25.0,0.908333333,9.083333333,27.25,54.5,9.131057505,281.796809,0.979935625,-0.01068363,10.77152212,221.0312184,0.980766899,1,187.0,80.0,7.926367045,12h
Fortistar - N.Tonawanda,24026.0,A,Combined Cycle,Natural Gas,43.0483,-78.8539,51.0,12.0,0.508333333,5.083333333,15.25,30.5,9.213061918,98.39510468,0.964204554,-0.019776062,10.516008,79.25342118,0.964682897,1,5.0,57.0,9.661975999,12h
Freeport 1-4,1660.0,K,Internal Combustion,Fuel Oil 2,40.6447,-73.5683,5.1,0.0,0.085,0.85,2.55,5.1,10.325,0.0,0.0,0.0,0.0,0.0,0.0,0,221.0,79.0,14.11169023,12h
Freeport 2-3,1660.0,K,Combustion Turbine,Kerosene,40.6447,-73.5683,18.1,0.0,0.301666667,3.016666667,9.05,18.1,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,222.0,79.0,14.11169023,12h
Freeport CT 1,23764.0,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,50.0,0.0,0.833333333,8.333333333,25.0,50.0,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,186.0,79.0,14.11169023,12h
Freeport CT 2,23818.0,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,51.0,1.0,0.658333333,6.583333333,19.75,39.5,10.29824022,-22.42591314,0.931245665,0.199827345,1.443948924,18.24130084,0.954711275,1,190.0,79.0,14.11169023,12h
General Mills Inc,23808.0,A,Combustion Turbine,Natural Gas,42.870968,-78.875549,3.8,0.0,0.063333333,0.633333333,1.9,3.8,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,57.0,19.73671636,12h
Glenwood GT 02,23688.0,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,64.0,6.45,0.866666667,8.666666667,26.0,52.0,13.80357729,11.81508415,0.975660022,-0.017326128,14.92558861,0.537494142,0.97431467,1,166.0,79.0,17.85369544,12h
Glenwood GT 03,23689.0,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,64.0,7.2,0.775,7.75,23.25,46.5,14.21996327,8.918092776,0.980120664,-0.041063161,17.0706368,-25.93055203,0.980119773,1,167.0,79.0,17.85369544,12h
Glenwood GT 04,24219.0,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,49.0,1.0,0.783333333,7.833333333,23.5,47.0,9.845144339,-17.56844131,0.971495296,0.108236987,4.365112394,10.99362793,0.981784396,1,198.0,79.0,17.88040338,12h
Glenwood GT 05,24220.0,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,50.0,2.0,0.775,7.75,23.25,46.5,10.30414951,-34.15514016,0.97014918,0.089938065,5.527449114,-0.014539106,0.977267927,1,199.0,79.0,17.88040338,12h
Gowanus 1-1,24077.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,104.0,82.0,6.417512627,12h
Gowanus 1-2,24078.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,105.0,82.0,6.417512627,12h
Gowanus 1-3,24079.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,106.0,82.0,6.417512627,12h
Gowanus 1-4,24080.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,107.0,82.0,6.417512627,12h
Gowanus 1-5,24084.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,108.0,82.0,6.417512627,12h
Gowanus 1-6,24111.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,109.0,82.0,6.417512627,12h
Gowanus 1-7,24112.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,110.0,82.0,6.417512627,12h
Gowanus 2-1,24114.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,111.0,82.0,6.417512627,12h
Gowanus 2-2,24115.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,112.0,82.0,6.417512627,over
Gowanus 2-3,24116.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,113.0,82.0,6.417512627,over
Gowanus 2-4,24117.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,114.0,82.0,6.417512627,1h
Gowanus 2-5,24118.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,115.0,82.0,6.417512627,1h
Gowanus 2-6,24119.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,116.0,82.0,6.417512627,1h
Gowanus 2-7,24120.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,117.0,82.0,6.417512627,1h
Gowanus 2-8,24121.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,118.0,82.0,6.417512627,1h
Gowanus 3-1,24122.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,119.0,82.0,6.417512627,1h
Gowanus 3-2,24123.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,120.0,82.0,6.417512627,1h
Gowanus 3-3,24124.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,121.0,82.0,6.417512627,1h
Gowanus 3-4,24125.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,122.0,82.0,6.417512627,1h
Gowanus 3-5,24126.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,123.0,82.0,6.417512627,1h
Gowanus 3-6,24127.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,124.0,82.0,6.417512627,1h
Gowanus 3-7,24128.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,125.0,82.0,6.417512627,1h
Gowanus 3-8,24129.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,126.0,82.0,6.417512627,1h
Gowanus 4-1,24130.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,127.0,82.0,6.417512627,1h
Gowanus 4-2,24131.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,128.0,82.0,6.417512627,1h
Gowanus 4-3,24132.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,129.0,82.0,6.417512627,1h
Gowanus 4-4,24133.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,130.0,82.0,6.417512627,1h
Gowanus 4-5,24134.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,131.0,82.0,6.417512627,1h
Gowanus 4-6,24135.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,132.0,82.0,6.417512627,1h
Gowanus 4-8,24137.0,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,133.0,82.0,6.417512627,1h
Gowanus 5,24156.0,J,Combustion Turbine,Natural Gas,40.663,-74.0,44.0,19.0,0.733333333,7.333333333,22.0,44.0,19.43907902,-402.2384956,0.899022881,0.256835944,2.167176568,-129.9783294,0.905089282,1,69.0,82.0,6.019492575,1h
Gowanus 6,24157.0,J,Combustion Turbine,Natural Gas,40.663,-74.0,43.0,6.0,0.716666667,7.166666667,21.5,43.0,14.39086765,-183.2564423,0.895851905,0.481229951,-12.23689748,90.58390323,0.961253432,1,70.0,82.0,6.019492575,1h
Greenidge 4,23583.0,C,Steam Turbine,Natural Gas,42.6789,-76.9483,113.0,36.0,1.883333333,18.83333333,56.5,113.0,10.4889317,25.59412471,0.904116112,0.050039358,3.468667045,225.0972314,0.908717676,1,13.0,65.0,6.054561681,1h
Greenport GT1,23814.0,K,Jet Engine,Fuel Oil 2,41.1056,-72.3767,60.0,21.0,1.0,10.0,30.0,60.0,18.92518338,-475.2285269,0.877749349,0.136380293,7.324920846,-238.6069732,0.880777382,1,188.0,80.0,70.52842874,1h
Harlem River 1,24160.0,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43.0,18.0,0.716666667,7.166666667,21.5,43.0,20.01931857,-418.5985581,0.886597244,0.511875917,-13.72213456,103.7413248,0.912401218,1,73.0,82.0,13.39104976,1h
Harlem River 2,24161.0,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43.0,17.5,0.716666667,7.166666667,21.5,43.0,20.24149178,-451.7400059,0.867786084,0.613814232,-21.02656243,201.8158263,0.906415647,1,74.0,82.0,13.39104976,1h
Hellgate 1,24158.0,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43.0,17.0,0.716666667,7.166666667,21.5,43.0,18.18145321,-356.6192964,0.90701578,0.574453045,-18.61533177,182.3667929,0.947821788,1,71.0,82.0,13.43745443,1h
Hellgate 2,24159.0,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43.0,16.0,0.716666667,7.166666667,21.5,43.0,19.62232226,-386.1554627,0.88602713,0.585495807,-17.75853521,163.1486631,0.929931219,1,72.0,82.0,13.43745443,1h
Hillburn GT,23639.0,G,Jet Engine,Natural Gas,41.1269,-74.1653,37.0,1.0,0.616666667,6.166666667,18.5,37.0,13.38443793,-3.146499496,0.806390838,0.53679922,-4.401107535,46.00703848,0.89707621,1,50.0,77.0,4.733280033,1h
Holtsville 01,23690.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17.0,1.0,0.283333333,2.833333333,8.5,17.0,17.20153243,2.20291602,0.99393536,-0.013600621,17.43009654,1.492136312,0.993820657,1,168.0,80.0,7.78216546,1h
Holtsville 02,23691.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17.0,1.0,0.283333333,2.833333333,8.5,17.0,17.19232247,2.318644808,0.993814301,-0.013478733,17.41890577,1.61338596,0.993694385,1,169.0,80.0,7.78216546,1h
Holtsville 03,23692.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15.0,1.0,0.25,2.5,7.5,15.0,17.17066438,0.619308058,0.998735443,0.056589033,16.32136317,2.415805808,0.998825156,1,170.0,80.0,7.78216546,1h
Holtsville 04,23693.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15.0,1.0,0.25,2.5,7.5,15.0,17.17066438,0.619308058,0.998735443,0.056589033,16.32136317,2.415805808,0.998825156,1,171.0,80.0,7.78216546,1h
Holtsville 05,23694.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16.0,1.0,0.266666667,2.666666667,8.0,16.0,17.22468758,1.784415584,0.972452573,-0.043603652,17.89467089,-0.151133559,0.972168241,1,172.0,80.0,7.78216546,1h
Holtsville 06,23695.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16.0,1.0,0.266666667,2.666666667,8.0,16.0,17.22468758,1.784415584,0.972452573,-0.043603652,17.89467089,-0.151133559,0.972168241,1,173.0,80.0,7.78216546,1h
Holtsville 07,23696.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16.0,1.0,0.266666667,2.666666667,8.0,16.0,18.01080137,-1.117105092,0.975829726,0.113811427,16.24386485,2.700700992,0.976064106,1,174.0,80.0,7.78216546,1h
Holtsville 08,23697.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16.0,1.0,0.266666667,2.666666667,8.0,16.0,18.01383567,-1.152371156,0.975317273,0.114688941,16.22597242,2.779752609,0.975553329,1,175.0,80.0,7.78216546,1h
Holtsville 09,23698.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15.0,1.0,0.25,2.5,7.5,15.0,17.46895385,-0.244622569,0.9764113,0.021804775,17.17612128,0.272029866,0.975979657,1,176.0,80.0,7.78216546,1h
Holtsville 10,23699.0,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15.0,1.0,0.25,2.5,7.5,15.0,17.46895385,-0.244622569,0.9764113,0.021804775,17.17612128,0.272029866,0.975979657,1,177.0,80.0,7.78216546,1h
Hudson Ave 3,23810.0,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0.0,0.271666667,2.716666667,8.15,16.3,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,134.0,82.0,5.039233259,1h
Hudson Ave 4,23540.0,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0.0,0.271666667,2.716666667,8.15,16.3,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,135.0,82.0,5.039233259,1h
Hudson Ave 5,23657.0,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0.0,0.271666667,2.716666667,8.15,16.3,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,136.0,82.0,5.039233259,1h
Indeck-Corinth,23802.0,F,Combined Cycle,Natural Gas,43.25,-73.8125,140.0,123.0,2.333333333,23.33333333,70.0,140.0,4.765068833,437.4829212,0.658728667,-0.265213563,74.21237568,-4104.325232,0.683366719,1,40.0,42.0,18.4104256,1h
Indeck-Olean,23982.0,A,Combined Cycle,Natural Gas,42.0875,-78.4578,84.0,18.0,1.4,14.0,42.0,84.0,7.068328761,100.3663188,0.890333874,0.022246857,4.813342938,150.050029,0.893287833,1,4.0,61.0,34.65245131,1h
Indeck-Oswego,23783.0,C,Combined Cycle,Natural Gas,43.4682,-76.4965,61.0,7.0,1.016666667,10.16666667,30.5,61.0,6.951304655,86.77340065,0.909777907,0.066205081,2.575738388,137.904495,0.92396299,1,18.0,50.0,22.36615481,1h
Indeck-Silver Springs,23768.0,C,Combined Cycle,Natural Gas,42.6544,-78.0772,60.0,6.0,1.0,10.0,30.0,60.0,7.225022614,88.40689455,0.904639638,0.052109938,3.918514457,128.5602169,0.911688783,1,17.0,65.0,33.32619022,1h
Indeck-Yerkes,23781.0,A,Combined Cycle,Natural Gas,42.9671,-78.9182,57.0,4.0,0.95,9.5,28.5,57.0,7.471322085,81.90205038,0.961511801,0.037991439,5.223767764,104.0979492,0.964613361,1,2.0,57.0,8.608200147,1h
Independence,23970.0,C,Combined Cycle,Natural Gas,43.495,-76.4508,1218.0,103.0,20.3,203.0,609.0,1218.0,6.672255447,167.3533806,0.973590111,0.000652208,5.81334173,390.5014737,0.974242951,1,19.0,50.0,23.06475241,1h
Jamestown 5,1658.0,A,Steam Turbine,Natural Gas,42.0917,-79.2417,28.7,0.0,0.478333333,4.783333333,14.35,28.7,10.347,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,60.0,27.15297736,1h
Jamestown 6,1658.0,A,Steam Turbine,Natural Gas,42.0917,-79.2417,25.0,0.0,0.416666667,4.166666667,12.5,25.0,10.347,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,60.0,27.15297736,1h
Jamestown 7,1659.0,A,Combustion Turbine,Natural Gas,42.0917,-79.2417,46.0,32.0,0.766666667,7.666666667,23.0,46.0,6.083722762,180.4098053,0.265147651,0.586561021,-36.60766157,952.6309488,0.298310905,1,6.0,60.0,27.15297736,1h
