Name,PTID,Zone,UnitType,FuelType,Latitude,Longitude,Pmax,Pmin,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM,fid,BusId,HubDist,starttime
Kent,24152.0,J,Combustion Turbine,Natural Gas,40.7168,-73.9665,65.0,8.0,0.816666667,8.166666667,32.5,65.0,13.6161056,-175.0052184,0.854081152,0.229956151,-0.674462895,-2.860626617,0.886643833,1,67.0,82.0,5.108401528,1h
KIAC_JFK_GT1,23816.0,J,Combined Cycle,Natural Gas,40.6417,-73.7778,71.0,17.0,1.083333333,10.83333333,35.5,35.5,7.90180717,87.49375213,0.972907628,-0.007507863,8.523468321,74.94687173,0.973062986,1,64.0,82.0,11.47967404,1h
KIAC_JFK_GT2,23817.0,J,Combined Cycle,Natural Gas,40.6417,-73.7778,49.0,4.0,1.183333333,11.83333333,24.5,49.0,7.487262603,94.37554812,0.986293021,-0.001455771,7.5747046,93.53050014,0.986301953,1,65.0,82.0,11.47967404,1h
Lockport,23791.0,A,Combined Cycle,Natural Gas,43.1622,-78.7453,153.0,28.0,2.55,25.5,76.5,153.0,12.83246405,-14.5128076,0.931274483,0.00592104,11.88674839,15.39975543,0.931404611,1,3.0,56.0,16.64343266,1h
Massena,23902.0,D,Combined Cycle,Natural Gas,44.9503,-74.8928,55.0,0.0,0.916666667,9.166666667,27.5,55.0,7.633,0.0,0.0,0.0,0.0,0.0,0.0,0,24.0,48.0,51.16849284,1h
Narrows 1-1,24228.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,137.0,82.0,8.237081198,1h
Narrows 1-2,24229.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,138.0,82.0,8.237081198,1h
Narrows 1-3,24230.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,139.0,82.0,8.237081198,1h
Narrows 1-4,24231.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,140.0,82.0,8.237081198,1h
Narrows 1-5,24232.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,141.0,82.0,8.237081198,1h
Narrows 1-6,24233.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,142.0,82.0,8.237081198,1h
Narrows 1-7,24234.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,143.0,82.0,8.237081198,1h
Narrows 1-8,24235.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,144.0,82.0,8.237081198,1h
Narrows 2-1,24236.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,145.0,82.0,8.237081198,1h
Narrows 2-2,24237.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,146.0,82.0,8.237081198,1h
Narrows 2-3,24238.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,147.0,82.0,8.237081198,1h
Narrows 2-4,24239.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,148.0,82.0,8.237081198,1h
Narrows 2-5,24240.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,149.0,82.0,8.237081198,1h
Narrows 2-6,24241.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,150.0,82.0,8.237081198,1h
Narrows 2-7,24242.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,151.0,82.0,8.237081198,1h
Narrows 2-8,24243.0,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22.0,0.0,0.366666667,3.666666667,11.0,22.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,152.0,82.0,8.237081198,1h
Nassau Energy Corporation,323695.0,K,Combined Cycle,Natural Gas,40.7259,-73.5885,53.0,35.0,0.883333333,8.833333333,26.5,53.0,7.129090827,153.595876,0.943768817,0.05166316,2.811719292,242.8454864,0.944939602,1,204.0,79.0,10.57602075,1h
Northport 1,23551.0,K,Steam Turbine,Natural Gas,40.9231,-73.3417,410.0,108.0,6.833333333,68.33333333,205.0,410.0,9.339661857,163.9109087,0.995060512,-0.000102463,9.389173152,158.9848026,0.995057872,1,160.0,80.0,18.36181122,1h
Northport 2,23552.0,K,Steam Turbine,Natural Gas,40.9231,-73.3417,410.0,111.0,6.833333333,68.33333333,205.0,410.0,9.768931238,192.3135029,0.993315183,-0.002127191,10.81909745,84.6067308,0.993484254,1,161.0,80.0,18.36181122,1h
Northport 3,23553.0,K,Steam Turbine,Natural Gas,40.9231,-73.3417,411.0,109.0,6.85,68.5,205.5,411.0,9.345363809,170.0394838,0.996592078,0.001020592,8.845960258,220.457406,0.996635793,1,162.0,80.0,18.36181122,1h
Northport 4,23650.0,K,Steam Turbine,Natural Gas,40.9231,-73.3417,413.0,109.0,6.883333333,68.83333333,206.5,413.0,9.345729321,200.9429659,0.990051783,-0.000199239,9.444587014,190.6135503,0.990050132,1,165.0,80.0,18.36181122,1h
Northport GT,23718.0,K,Combustion Turbine,Fuel Oil 2,40.9231,-73.3417,16.0,0.0,0.266666667,2.666666667,8.0,16.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,223.0,80.0,18.36181122,1h
Oswego 5,23606.0,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,866.0,39.15,14.43333333,144.3333333,433.0,866.0,8.922199923,684.6984171,0.986416413,0.002014328,7.018628701,950.4173708,0.98780741,1,15.0,50.0,23.40007042,1h
Oswego 6,23613.0,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,862.0,25.45,14.36666667,143.6666667,431.0,862.0,8.982900273,568.7150841,0.997444336,0.000193177,8.799033963,595.8131559,0.997409501,1,16.0,50.0,23.40007042,1h
Pilgrim GT1,24216.0,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,47.0,13.7,0.783333333,7.833333333,23.5,47.0,19.87126551,-439.8147529,0.82637873,0.214686347,4.946571215,-192.9020124,0.831866669,1,196.0,80.0,14.4798899,1h
Pilgrim GT2,24217.0,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,48.0,5.15,0.8,8.0,24.0,48.0,18.92276553,-389.6596572,0.870964479,0.344756643,-4.233914265,-31.23551645,0.89478544,1,197.0,80.0,14.4798899,1h
Pinelawn Power 1,323563.0,K,Combined Cycle,Natural Gas,40.7358,-73.3881,81.0,14.5,1.35,13.5,40.5,81.0,8.826779475,-46.13458579,0.904801903,-0.043134769,13.16055586,-149.1373146,0.914586163,1,200.0,79.0,6.646901739,1h
Port Jefferson 3,23555.0,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,201.0,45.0,3.35,33.5,100.5,201.0,9.635896124,61.42450619,0.872331898,0.028674922,3.068509921,347.5110455,0.881297078,1,163.0,80.0,12.26666528,1h
Port Jefferson 4,23616.0,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,204.0,45.0,3.4,34.0,102.0,204.0,9.7231988,147.8617538,0.992131324,0.001978479,9.280801283,165.6106775,0.992166134,1,164.0,80.0,12.26666528,1h
Port Jefferson GT 02,24210.0,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,48.0,10.0,0.8,8.0,24.0,48.0,12.94196037,-135.2945106,0.959672884,0.003302302,12.74097538,-132.8028817,0.959614676,1,193.0,80.0,12.26666528,1h
Port Jefferson GT 03,24211.0,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,49.0,11.0,0.816666667,8.166666667,24.5,49.0,12.23597388,-132.8299653,0.925588697,-0.020532988,13.48983837,-148.7585199,0.925628139,1,194.0,80.0,12.26666528,1h
Pouch,24155.0,J,Combustion Turbine,Natural Gas,40.6188,-74.069,48.0,4.0,0.8,8.0,24.0,48.0,12.25555379,-107.8317001,0.880148941,0.314298401,-5.294454728,36.90924018,0.930601028,1,68.0,82.0,13.37991002,1h
Ravenswood 01,23729.0,J,Combustion Turbine,Natural Gas,40.7585,-73.9451,18.6,0.0,0.31,3.1,9.3,18.6,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,153.0,82.0,8.893968189,1h
Ravenswood 10,24258.0,J,Jet Engine,Kerosene,40.7585,-73.9451,25.0,0.0,0.416666667,4.166666667,12.5,25.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,154.0,82.0,8.893968189,1h
Ravenswood 11,24259.0,J,Jet Engine,Kerosene,40.7585,-73.9451,25.0,0.0,0.416666667,4.166666667,12.5,25.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,155.0,82.0,8.893968189,1h
Ravenswood CC 04,23820.0,J,Combined Cycle,Natural Gas,40.7585,-73.9451,286.0,142.0,4.766666667,47.66666667,143.0,286.0,5.762263088,346.4073173,0.920387672,0.015335827,-0.975215494,1064.999305,0.928579242,1,84.0,82.0,8.893968189,1h
Ravenswood ST 01,23533.0,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,380.0,1.0,6.333333333,63.33333333,190.0,380.0,8.904337179,239.1727508,0.990378961,0.002067614,8.13620343,286.3132715,0.990771695,1,61.0,82.0,8.893968189,1h
Ravenswood ST 02,23534.0,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,1000.0,3.0,16.66666667,166.6666667,500.0,1000.0,9.146790025,546.8851162,0.991790854,-0.001208377,10.15813952,438.252621,0.993388574,1,62.0,82.0,8.893968189,1h
Ravenswood ST 03,23535.0,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,392.0,1.0,6.533333333,65.33333333,196.0,392.0,8.89160226,234.1603978,0.993913599,0.00278224,7.813159029,307.2256501,0.994536822,1,63.0,82.0,8.893968189,1h
Rensselaer,23796.0,F,Combined Cycle,Natural Gas,42.63,-73.75,84.0,12.0,1.4,14.0,42.0,84.0,7.069657377,123.0575687,0.879511465,0.050369797,1.627019922,234.1131904,0.894586195,1,34.0,42.0,12.80646317,1h
Roseton 1,23587.0,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,622.0,30.3,10.36666667,103.6666667,311.0,622.0,9.079935032,323.3793285,0.993611531,0.001060498,8.320607199,422.4473888,0.993874137,1,44.0,77.0,28.9153446,1h
Roseton 2,23588.0,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,635.0,30.8,10.58333333,105.8333333,317.5,635.0,8.443248737,443.0473987,0.9447014,0.001532923,7.450267733,568.7703972,0.945619557,1,45.0,77.0,28.9153446,1h
S Hampton 1,23720.0,K,Combustion Turbine,Fuel Oil 2,40.899997,-72.381977,11.5,0.0,0.191666667,1.916666667,5.75,11.5,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,224.0,80.0,64.53751937,1h
Saranac Energy,23793.0,D,Combined Cycle,Natural Gas,44.7132,-73.4557,268.0,20.0,4.466666667,44.66666667,134.0,268.0,7.954201193,108.3920987,0.95892353,0.005945642,6.438131253,193.3572738,0.961805112,1,23.0,48.0,53.77751409,1h
Selkirk-I,23801.0,F,Combined Cycle,Natural Gas,42.5744,-73.8592,143.0,0.0,2.383333333,23.83333333,71.5,143.0,7.633,0.0,0.0,0.0,0.0,0.0,0.0,0,41.0,42.0,18.74042973,1h
Selkirk-II,23799.0,F,Combined Cycle,Natural Gas,42.5744,-73.8592,304.0,54.6,5.066666667,50.66666667,152.0,304.0,7.643746411,121.2104814,0.980876831,0.000448981,7.491933077,132.5047924,0.980855836,1,35.0,42.0,18.74042973,1h
Shoemaker GT,23640.0,G,Jet Engine,Natural Gas,41.4278,-74.4186,37.0,0.0,0.616666667,6.166666667,18.5,37.0,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,51.0,77.0,35.19731882,1h
Shoreham 1,23715.0,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,52.9,0.0,0.881666667,8.816666667,26.45,52.9,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,225.0,80.0,26.22030789,1h
Shoreham 2,23716.0,K,Jet Engine,Fuel Oil 2,40.9572,-72.8664,18.6,0.0,0.31,3.1,9.3,18.6,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,226.0,80.0,26.22030789,1h
Shoreham GT3,24213.0,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,47.0,0.0,0.783333333,7.833333333,23.5,47.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,208.0,80.0,26.22030789,1h
Shoreham GT4,24214.0,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,49.0,0.0,0.816666667,8.166666667,24.5,49.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,195.0,80.0,26.22030789,over
Somerset,23543.0,A,Steam Turbine,Coal,43.3561,-78.6039,731.0,80.4,5.391666667,53.91666667,161.75,323.5,7.540292686,625.0545977,0.993683759,0.002011504,5.841928712,889.0034119,0.994794515,1,1.0,56.0,12.29874974,over
South Cairo,23612.0,G,Combustion Turbine,Kerosene,42.291275,-73.986452,21.6,0.0,0.36,3.6,10.8,21.6,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,55.0,39.0,23.11701271,over
Southold 1,23719.0,K,Combustion Turbine,Fuel Oil 2,41.1059,-72.3761,14.0,0.0,0.233333333,2.333333333,7.0,14.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,227.0,80.0,70.58789468,over
St. Elizabeth Medical Center,23633.0,E,Internal Combustion,Natural Gas,43.082104,-75.2661,0.6,0.0,0.01,0.1,0.3,0.6,8.899,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,45.0,5.832776701,over
Sterling,23777.0,E,Combined Cycle,Natural Gas,43.0803,-75.6003,43.0,15.0,0.375,3.75,11.25,22.5,9.487922941,67.66680304,0.927589605,-0.065664491,13.41946295,12.49370194,0.931485913,1,25.0,45.0,29.86475402,over
Stony Brook   (BTM:NG),24151.0,K,Combustion Turbine,Natural Gas,40.9168,-73.1292,46.0,30.0,0.408333333,4.083333333,12.25,24.5,9.073059064,75.17557307,0.505807403,-0.017751252,10.42080871,49.81021301,0.505769655,1,205.0,80.0,7.318323541,over
Syracuse,23985.0,C,Combined Cycle,Natural Gas,43.0667,-76.2246,102.0,14.0,0.683333333,6.833333333,20.5,41.0,6.023530873,120.8979995,0.92762095,0.045735597,0.379882678,279.5583001,0.961212056,1,20.0,51.0,14.49368569,over
Vernon Blvd 2,24162.0,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,43.0,18.5,0.533333333,5.333333333,16.0,32.0,19.60238403,-407.0596075,0.838109034,0.14644434,9.927140888,-254.1738566,0.839825674,1,83.0,82.0,8.461277028,over
Vernon Blvd 3,24163.0,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,42.0,15.0,0.558333333,5.583333333,16.75,33.5,17.27289742,-319.5727362,0.893510483,0.524042816,-14.97919783,132.2388543,0.9358018,1,75.0,82.0,8.461277028,over
Wading River 1,23522.0,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,102.0,9.0,1.258333333,12.58333333,37.75,75.5,12.77932968,-5.232355019,0.960068573,-0.051614756,18.02630112,-96.22563919,0.967170164,1,156.0,80.0,25.37866403,over
Wading River 2,23547.0,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,94.0,7.8,1.35,13.5,40.5,81.0,13.38110302,-32.77826716,0.981323151,-0.027035002,15.95735073,-73.20675158,0.982888703,1,159.0,80.0,25.37866403,over
Wading River 3,23601.0,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,94.0,4.0,1.333333333,13.33333333,40.0,80.0,12.15408291,-11.60104191,0.822005195,-0.022268834,14.19078865,-39.2502934,0.821056656,1,207.0,80.0,25.37866403,over
West Babylon 4,23714.0,K,Combustion Turbine,Fuel Oil 2,40.6953,-73.3497,65.0,3.0,0.808333333,8.083333333,24.25,48.5,13.32991978,15.83107639,0.989745265,-0.060121721,17.05556001,-25.89284716,0.993618784,1,185.0,79.0,11.26133596,over
Linden Cogen,23786,J,Combined Cycle,Natural Gas,,,310,142.6,4.416666667,44.16666667,132.5,,5.430356142,292.039598,0.894931925,0,0,0,0,0,,81,,
Linden Cogen_u2,23786,J,Combined Cycle,Natural Gas,,,193,88.78,2.416666667,24.16666667,72.5,,7.157579708,-8.49786E-13,0.906841723,0,0,0,0,0,,81,,
Linden Cogen_u3,23786,J,Combined Cycle,Natural Gas,,,194,89.24,2.283333333,22.83333333,68.5,,7.092518855,9.30557E-13,0.918268962,0,0,0,0,0,,81,,
Linden Cogen_u4,23786,J,Combined Cycle,Natural Gas,,,192,88.32,2.183333333,21.83333333,65.5,,7.105582731,7.072607173,0.92344073,0,0,0,0,0,,81,,
Linden Cogen_u5,23786,J,Combined Cycle,Natural Gas,,,194,89.24,2.4,24,72,,7.140999101,-1.6213E-12,0.911896968,0,0,0,0,0,,81,,
Linden Cogen_u6,23786,J,Combined Cycle,Natural Gas,,,192,88.32,2.333333333,23.33333333,70,,7.19903345,8.38521E-13,0.948685942,0,0,0,0,0,,81,,
Bayonne EC  CTG1,323682,J,Combustion Turbine,Natural Gas,,,64,32,1,10,30,,8.956507191,7.33495E-14,0.738115757,0,0,0,0,0,,81,,
Bayonne EC  CTG2,323683,J,Combustion Turbine,Natural Gas,,,64,32,1.033333333,10.33333333,31,,8.95435361,6.69279E-14,0.708333282,0,0,0,0,0,,81,,
Bayonne EC  CTG3,323684,J,Combustion Turbine,Natural Gas,,,64,32,0.966666667,9.666666667,29,,9.03474264,3.28812E-14,0.688287313,0,0,0,0,0,,81,,
Bayonne EC  CTG4,323685,J,Combustion Turbine,Natural Gas,,,64,32,1,10,30,,9.007330262,4.89242E-14,0.745234491,0,0,0,0,0,,81,,
Bayonne EC  CTG5,323686,J,Combustion Turbine,Natural Gas,,,64,32,0.95,9.5,28.5,,9.112634555,-6.05006E-15,0.718293939,0,0,0,0,0,,81,,
Bayonne EC  CTG6,323687,J,Combustion Turbine,Natural Gas,,,64,32,1,10,30,,8.816723886,2.24042E-13,0.691091202,0,0,0,0,0,,81,,
Bayonne EC  CTG7,323688,J,Combustion Turbine,Natural Gas,,,64,32,0.966666667,9.666666667,29,,8.831231307,3.46854E-14,0.704915105,0,0,0,0,0,,81,,
Bayonne EC  CTG8,323689,J,Combustion Turbine,Natural Gas,,,64,32,0.983333333,9.833333333,29.5,,8.860224599,-8.53164E-14,0.700745837,0,0,0,0,0,,81,,